Field,Type,Null,Key,Default,Extra
user_ptr_id,int,NO,,0,
first_name,varchar(200),YES,,NULL,
last_name,varchar(200),YES,,NULL,
email,varchar(200),YES,,NULL,
date_of_birth,date,YES,,NULL,
age,bigint,YES,,NULL,
date_join_formatted_gst,date,YES,,NULL,
date_join_cohort,varchar(10),YES,,NULL,
date_join_year,int,YES,,NULL,
date_join_quarter,int,YES,,NULL,
date_join_month,int,YES,,NULL,
date_join_week_of_year,int,YES,,NULL,
date_join_day_of_year,int,YES,,NULL,
last_login_gst,varchar(10),NO,,,
has_last_login_date,varchar(3),NO,,,
is_resident,varchar(200),YES,,NULL,
user_is_verified,varchar(3),NO,,,
is_repeat_user,varchar(3),NO,,,
is_repeat_new_first,varchar(9),YES,,,
booking_count_total,bigint,YES,,0,
booking_count_cancel,"decimal(23,0)",YES,,NULL,
booking_count_completed,"decimal(23,0)",YES,,NULL,
booking_count_started,"decimal(23,0)",YES,,NULL,
booking_count_future,"decimal(23,0)",YES,,NULL,
booking_count_other,"decimal(23,0)",YES,,NULL,
booking_count_not_cancel,"decimal(23,0)",YES,,NULL,
all_countries_distinct,text,YES,,NULL,
all_cities_distinct,text,YES,,NULL,
booking_charge_total_less_discount_aed,double,YES,,NULL,
booking_charge_total_less_discount_extension_aed,double,YES,,NULL,
booking_charge_extension_only_aed,double,YES,,NULL,
booking_days_total,double,YES,,NULL,
booking_days_initial_only,double,YES,,NULL,
booking_days_extension_only,double,YES,,NULL,
booking_first_created_date,date,YES,,NULL,
booking_most_recent_created_date,date,YES,,NULL,
booking_most_recent_pickup_date,date,YES,,NULL,
booking_most_recent_return_date,date,YES,,NULL,
booking_join_vs_first_created,double,YES,,NULL,
booking_first_created_vs_first_pickup,double,YES,,0,
booking_most_recent_created_on_vs_now,double,YES,,0,
booking_most_recent_return_vs_now,double,YES,,0,
total_days_per_completed_and_started_bookings,double,YES,,NULL,
booking_charge__less_discount_aed_per_completed_started_bookings,double,YES,,NULL,
date_now_gst,datetime,YES,,NULL,
is_currently_started,varchar(3),NO,,,
is_canceller,varchar(3),NO,,,
is_renter,varchar(3),NO,,,
is_looker,varchar(3),NO,,,
is_other,varchar(3),NO,,,
rfm_recency_metric,double,YES,,NULL,
rfm_frequency_metric,double,YES,,NULL,
rfm_monetary_metric,double,YES,,NULL,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
