user_ptr_id,score_five_parts,07/01/2024,07/03/2024,difference
8,134,134,134,0
40,523,523,523,0
57,121,121,121,0
75,111,111,111,0
83,333,333,333,0
103,121,121,121,0
106,522,522,522,0
126,533,533,533,0
135,111,111,111,0
161,323,323,323,0
169,132,132,132,0
170,155,155,155,0
172,133,133,133,0
181,133,133,133,0
182,433,433,433,0
183,444,444,444,0
185,414,414,414,0
192,144,144,144,0
195,245,245,0,245
195,255,0,255,-255
206,145,145,145,0
232,122,122,122,0
236,145,145,0,145
236,155,0,155,-155
244,122,122,122,0
252,133,133,133,0
253,145,145,145,0
266,255,255,255,0
269,123,123,123,0
274,144,144,144,0
275,233,233,233,0
277,155,155,155,0
279,155,155,155,0
288,112,112,112,0
289,145,145,145,0
292,133,133,133,0
295,243,243,243,0
297,144,144,144,0
300,134,134,134,0
302,133,133,133,0
303,122,122,122,0
304,144,144,144,0
305,121,121,121,0
306,144,144,144,0
307,113,113,113,0
308,132,132,132,0
310,133,133,133,0
311,111,111,111,0
312,143,143,143,0
313,115,115,115,0
314,123,123,123,0
315,122,122,122,0
316,132,132,132,0
317,324,324,324,0
318,132,132,132,0
319,143,143,143,0
320,115,115,115,0
321,123,123,123,0
322,132,132,132,0
323,112,112,112,0
324,115,115,115,0
325,133,133,133,0
327,234,234,234,0
328,121,121,121,0
329,145,145,0,145
329,155,0,155,-155
330,121,121,121,0
331,132,132,132,0
332,145,145,145,0
333,111,111,111,0
334,113,113,113,0
335,134,134,134,0
340,145,145,145,0
341,143,143,143,0
342,143,143,143,0
343,134,134,134,0
347,133,133,133,0
350,132,132,132,0
351,111,111,111,0
352,133,133,133,0
353,143,143,143,0
355,144,144,144,0
356,144,144,144,0
357,145,145,0,145
357,155,0,155,-155
358,355,355,355,0
359,145,145,145,0
360,112,112,112,0
361,132,132,132,0
363,111,111,111,0
366,144,144,0,144
366,154,0,154,-154
367,222,222,222,0
369,134,134,134,0
370,111,111,111,0
371,355,355,355,0
372,111,111,111,0
374,145,145,0,145
374,155,0,155,-155
375,121,121,121,0
376,121,121,121,0
377,112,112,112,0
378,133,133,133,0
380,133,133,133,0
381,132,132,132,0
382,145,145,145,0
383,111,111,111,0
388,133,133,133,0
390,122,122,122,0
391,122,122,122,0
393,155,155,155,0
394,155,155,155,0
395,132,132,132,0
397,122,122,122,0
399,111,111,111,0
400,134,134,134,0
401,122,122,122,0
402,134,134,134,0
403,133,133,133,0
405,134,134,134,0
406,111,111,111,0
407,144,144,144,0
408,112,112,112,0
409,121,121,121,0
410,144,144,0,144
410,154,0,154,-154
411,121,121,121,0
412,145,145,145,0
413,145,145,0,145
413,155,0,155,-155
414,144,144,0,144
414,154,0,154,-154
415,134,134,134,0
417,132,132,132,0
419,233,233,233,0
420,111,111,111,0
422,122,122,122,0
426,111,111,111,0
428,112,112,112,0
430,132,132,132,0
431,122,122,122,0
434,134,134,134,0
436,145,145,0,145
436,155,0,155,-155
438,123,123,123,0
439,355,355,355,0
448,134,134,134,0
449,144,144,144,0
453,145,145,0,145
453,155,0,155,-155
454,132,132,132,0
455,433,433,433,0
459,144,144,144,0
460,244,244,244,0
461,143,143,143,0
463,111,111,111,0
464,143,143,143,0
465,144,144,144,0
467,143,143,143,0
470,111,111,111,0
471,111,111,111,0
472,124,124,124,0
474,111,111,111,0
475,155,155,155,0
476,122,122,122,0
482,123,123,123,0
483,145,145,145,0
484,111,111,111,0
489,113,113,113,0
490,422,422,422,0
491,121,121,121,0
493,143,143,143,0
494,544,544,544,0
496,133,133,133,0
497,122,122,122,0
500,155,155,155,0
501,144,144,144,0
502,133,133,133,0
505,122,122,122,0
508,145,145,145,0
517,144,144,144,0
518,143,143,143,0
519,143,143,143,0
521,124,124,124,0
522,144,144,144,0
523,122,122,122,0
525,255,255,255,0
531,144,144,144,0
532,143,143,143,0
533,133,133,133,0
538,145,145,0,145
538,155,0,155,-155
540,155,155,155,0
541,124,124,124,0
542,143,143,143,0
550,121,121,121,0
551,133,133,133,0
555,145,145,145,0
557,533,533,533,0
558,121,121,121,0
559,133,133,133,0
560,244,244,244,0
561,155,155,155,0
563,133,133,133,0
565,155,155,155,0
566,122,122,122,0
567,133,133,133,0
