user_ptr_id,created_at_date,date_join_cohort,score_three_parts,score_five_parts,booking_id,status,booking_type,promo_code,booking_date,pickup_date,return_date,booking_charge_less_discount,count(*),initial_date,max_created_at_date
4846,07/01/2024,2018-07,222,433,289722,"Rental Started",Weekly,60WRACIAZ,2024-07-04,2024-07-04,2024-07-11,804.905,1,07/01/2024,07/03/2024
5023,07/01/2024,2018-07,211,321,289220,"Rental Started",daily,NULL,2024-07-03,2024-07-03,2024-07-06,239.97,1,07/01/2024,07/03/2024
6616,07/01/2024,2018-10,222,334,288952,Collect,daily,NULL,2024-07-02,2024-07-02,2024-07-05,659.34,1,07/01/2024,07/03/2024
10428,07/01/2024,2019-02,333,555,289223,"Rental Started",Monthly,EZENBD,2024-07-03,2024-07-03,2024-08-02,1572.9,1,07/01/2024,07/03/2024
13643,07/01/2024,2019-05,321,522,289595,"Rental Started",daily,NULL,2024-07-04,2024-07-04,2024-07-07,269.97,1,07/01/2024,07/03/2024
14608,07/01/2024,2019-06,311,522,289391,"Rental Started",daily,NULL,2024-07-03,2024-07-03,2024-07-05,257.98,1,07/01/2024,07/03/2024
15688,07/01/2024,2019-07,233,455,288923,"Rental Started",daily,NULL,2024-07-02,2024-07-02,2024-07-08,557.9399999999999,1,07/01/2024,07/03/2024
15738,07/01/2024,2019-07,311,522,289206,"Rental Started",daily,NULL,2024-07-03,2024-07-03,2024-07-05,199.98,1,07/01/2024,07/03/2024
21238,07/01/2024,2019-10,322,533,289769,"Rental Started",daily,NULL,2024-07-04,2024-07-04,2024-07-07,317.97,1,07/01/2024,07/03/2024
22146,07/01/2024,2019-10,332,543,289572,Collect,daily,NULL,2024-07-04,2024-07-04,2024-07-05,99.99,1,07/01/2024,07/03/2024
22933,07/01/2024,2019-10,311,411,289267,"Rental Ended",daily,NULL,2024-07-03,2024-07-03,2024-07-04,89.99,1,07/01/2024,07/03/2024
28079,07/01/2024,2019-11,311,522,289385,"Rental Started",daily,NULL,2024-07-03,2024-07-03,2024-07-08,507.2,1,07/01/2024,07/03/2024
28089,07/01/2024,2019-11,322,522,288530,"Rental Ended",daily,NULL,2024-07-01,2024-07-01,2024-07-02,79.99,1,07/01/2024,07/03/2024
36339,07/01/2024,2020-01,322,534,289392,"Vendor Assigned",daily,NULL,2024-07-03,2024-07-31,2024-08-03,635.94,1,07/01/2024,07/03/2024
36763,07/01/2024,2020-01,311,421,289248,"Vendor Assigned",daily,EZB1119534,2024-07-03,2024-07-05,2024-07-06,0,1,07/01/2024,07/03/2024
54730,07/01/2024,2020-03,322,543,288970,"Rental Started",Weekly,NULL,2024-07-02,2024-07-02,2024-07-09,636.95,1,07/01/2024,07/03/2024
56995,07/01/2024,2020-04,322,532,289869,"Vendor Assigned",daily,EZENBD,2024-07-04,2024-07-05,2024-07-06,71.99199999999999,1,07/01/2024,07/03/2024
58221,07/01/2024,2020-05,333,544,289324,"Rental Started",Monthly,NULL,2024-07-03,2024-07-04,2024-08-03,2475.9,1,07/01/2024,07/03/2024
67742,07/01/2024,2020-07,322,533,289292,"Rental Started",daily,NULL,2024-07-03,2024-07-03,2024-07-06,347.97,1,07/01/2024,07/03/2024
68768,07/01/2024,2020-07,321,522,288902,"Vendor Assigned",daily,EZB1119806,2024-07-02,2024-07-05,2024-07-07,116.98,1,07/01/2024,07/03/2024
70942,07/01/2024,2020-07,332,544,289386,Collect,daily,NULL,2024-07-03,2024-07-03,2024-07-04,177.99,1,07/01/2024,07/03/2024
72220,07/01/2024,2020-07,222,422,289076,"Rental Started",daily,NULL,2024-07-02,2024-07-02,2024-07-05,277.02,1,07/01/2024,07/03/2024
73321,07/01/2024,2020-07,333,445,289081,"Rental Ended",daily,NULL,2024-07-02,2024-07-02,2024-07-04,499.98,1,07/01/2024,07/03/2024
73321,07/01/2024,2020-07,333,445,289894,"Rental Started",daily,NULL,2024-07-04,2024-07-04,2024-07-07,479.97,1,07/01/2024,07/03/2024
80906,07/01/2024,2020-09,122,143,288985,"Rental Ended",daily,NULL,2024-07-02,2024-07-02,2024-07-03,186.49,1,07/01/2024,07/03/2024
81453,07/01/2024,2020-09,333,555,289013,"Rental Started",Weekly,NULL,2024-07-02,2024-07-02,2024-07-14,1360.2,1,07/01/2024,07/03/2024
83405,07/01/2024,2020-09,332,444,289117,"Rental Started",Weekly,NULL,2024-07-02,2024-07-02,2024-07-09,677.9499999999999,1,07/01/2024,07/03/2024
83846,07/01/2024,2020-09,311,521,289807,"Rental Started",daily,NULL,2024-07-04,2024-07-04,2024-07-07,269.97,1,07/01/2024,07/03/2024
85194,07/01/2024,2020-09,211,422,289082,"Rental Started",daily,NULL,2024-07-02,2024-07-04,2024-07-07,317.97,1,07/01/2024,07/03/2024
86271,07/01/2024,2020-09,322,433,289236,"Rental Started",Monthly,NULL,2024-07-03,2024-07-03,2024-08-03,2349.63,1,07/01/2024,07/03/2024
87713,07/01/2024,2020-10,333,554,289025,"Rental Ended",daily,NULL,2024-07-02,2024-07-02,2024-07-03,89.99,1,07/01/2024,07/03/2024
88266,07/01/2024,2020-10,322,533,289333,"Rental Started",Monthly,HAZ100,2024-07-03,2024-07-03,2024-08-02,2327,1,07/01/2024,07/03/2024
