Field,Type,Null,Key,Default,Extra
user_ptr_id,int,NO,PRI,NULL,
middle_name,varchar(255),YES,,NULL,
country_code,varchar(50),YES,MUL,NULL,
extra_field2,varchar(50),YES,,NULL,
extra_field3,varchar(50),YES,,NULL,
mobile,varchar(20),NO,MUL,NULL,
telephone,varchar(20),NO,,NULL,
extra_field1,varchar(100),YES,,NULL,
doc1,varchar(100),YES,,NULL,
doc2,varchar(100),YES,,NULL,
doc3,varchar(100),YES,,NULL,
doc4,varchar(100),YES,,NULL,
role_type,int,NO,MUL,NULL,
address,varchar(255),YES,,NULL,
city,varchar(50),YES,,NULL,
country,varchar(50),NO,,NULL,
customer_note,varchar(255),YES,,NULL,
date_of_birth,varchar(25),NO,,NULL,
dl_country,varchar(50),YES,,NULL,
dl_exp_date,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
dl_issue_date,varchar(50),NO,,NULL,
dl_number,varchar(25),YES,,NULL,
emid_exp_date,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
emid_number,varchar(25),YES,,NULL,
int_dl_exp_date,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
int_dl_issue_date,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
int_dl_number,varchar(25),YES,,NULL,
passport_exp_date,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
passport_number,varchar(25),YES,,NULL,
state,varchar(50),YES,,NULL,
doc5,varchar(100),YES,,NULL,
Document_Attached,int,NO,,NULL,
Payment_Det_Added,int,NO,,NULL,
date_join,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
is_resident,varchar(255),NO,,NULL,
renting_in,int,NO,,NULL,
user_source1,varchar(100),YES,,NULL,
Gps_added,int,NO,,NULL,
Insurance_added,int,NO,,NULL,
babe_seater_added,int,NO,,NULL,
boster_seat_added,int,NO,,NULL,
user_source,int,NO,,NULL,
doc10,varchar(100),YES,,NULL,
doc11,varchar(100),YES,,NULL,
doc12,varchar(100),YES,,NULL,
doc6,varchar(100),YES,,NULL,
doc7,varchar(100),YES,,NULL,
doc8,varchar(100),YES,,NULL,
doc9,varchar(100),YES,,NULL,
payment_det_added_bank,int,NO,,NULL,
call_status,int,NO,,NULL,
parent_id,int,NO,,NULL,
update_user_documents,int,NO,,1,
is_rehlat,int,NO,,NULL,
app_version,varchar(100),YES,,NULL,
os_version,varchar(100),YES,,NULL,
doc16,varchar(100),YES,,NULL,
doc17,varchar(100),YES,,NULL,
firebase_token,varchar(1000),YES,,NULL,
social_uid,varchar(250),YES,,NULL,
updated_by,int,YES,,NULL,
user_status,int,YES,,NULL,
referral_code,varchar(50),NO,,NULL,
referrer_id,int,NO,,NULL,
vendor_id,int,NO,,NULL,
location_id,int,YES,,NULL,
is_verified,int,YES,,0,
ocr_status,int,YES,,0,
is_online,int,YES,,0,
is_sync2,int,YES,,0,
password_updated_at,date,YES,,NULL,
app_language,int,YES,,NULL,
is_notification_sent_for_correction,int,YES,,NULL,
sent_for_correction_on,datetime(6),YES,,NULL,
is_warehouse,tinyint(1),YES,,NULL,
is_sent_on_netsuite,int,YES,,NULL,
adjust_adid,varchar(1000),YES,,NULL,
category_id,int,NO,,NULL,
aswat_password,varchar(254),YES,,NULL,
aswat_token,varchar(1000),YES,,NULL,
aswat_username,varchar(254),YES,,NULL,
is_company,tinyint(1),YES,,NULL,
parent_user_id,int,YES,,NULL,
verified_by,int,YES,,NULL,
